epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1513,1.98422,3.67011,5.17717,0.00853,5.52095,0.77226,0.07784,0.0474,0.03117,0.76538,0.07399,0.04459,0.02326,1.26795,2.12568,6.51192,0.00508,0,0.00326389,0.00326389,0.070625
2,27.0527,1.81785,3.1361,3.33176,0.00744,2.51651,0.70606,0.14299,0.1753,0.11734,0.69644,0.1365,0.16266,0.08802,1.22617,1.87936,2.96298,0.00461,0,0.00659721,0.00659721,0.040625
3,39.2581,1.76532,2.94661,2.68801,0.00694,2.04622,0.46971,0.28748,0.28593,0.18816,0.46219,0.27844,0.26783,0.17582,1.52178,1.88173,2.32454,0.00664,0,0.00993046,0.00993046,0.0106249
4,51.2582,1.79542,2.90647,2.35855,0.00699,1.87474,0.77192,0.29351,0.34991,0.2423,0.77237,0.29247,0.34561,0.20837,1.28644,1.78667,1.81671,0.0053,0,0.00999978,0.00999978,0.00999978
5,63.5293,1.77816,2.94093,2.25982,0.00719,1.76676,0.59599,0.4097,0.40631,0.2736,0.61213,0.383,0.39263,0.21977,1.24927,1.86146,1.62162,0.00532,0,0.00999961,0.00999961,0.00999961
6,75.4615,1.78034,2.84983,2.05515,0.00703,1.71313,0.66322,0.42304,0.52995,0.38253,0.6607,0.4181,0.50734,0.31664,1.28255,1.77853,1.24775,0.00536,0,0.00999939,0.00999939,0.00999939
7,87.3792,1.74495,2.77822,1.95369,0.00691,1.58897,0.69869,0.5431,0.61804,0.45182,0.68715,0.53075,0.59476,0.38609,1.27065,1.65273,1.11871,0.00508,0,0.00999912,0.00999912,0.00999912
8,99.6655,1.74811,2.75832,1.87822,0.00692,1.56117,0.69808,0.58696,0.67992,0.50461,0.68635,0.5671,0.64992,0.42651,1.24191,1.68934,1.05215,0.00473,0,0.0099988,0.0099988,0.0099988
9,111.771,1.76251,2.78367,1.84852,0.00697,1.52409,0.74335,0.53388,0.67111,0.5064,0.72889,0.5252,0.63346,0.41875,1.247,1.69952,1.04473,0.005,0,0.00999844,0.00999844,0.00999844
10,123.809,1.75502,2.79158,1.81912,0.00685,1.48895,0.70879,0.64426,0.70983,0.52858,0.71055,0.59911,0.68306,0.46447,1.19363,1.6349,0.94844,0.00474,0,0.00999802,0.00999802,0.00999802
11,136.414,1.72317,2.69065,1.76655,0.00673,1.4359,0.69705,0.5298,0.63043,0.47011,0.68053,0.50767,0.57865,0.37753,1.2266,1.71697,1.06119,0.00499,0,0.00999756,0.00999756,0.00999756
12,148.734,1.74704,2.74224,1.81669,0.00696,1.388,0.52928,0.62698,0.62868,0.46333,0.56948,0.59296,0.61017,0.39985,1.20779,1.66827,1.02225,0.00466,0,0.00999704,0.00999704,0.00999704
13,161.056,1.6867,2.63722,1.68137,0.00649,1.32323,0.63555,0.75204,0.75517,0.54095,0.62574,0.70051,0.71501,0.44936,1.34384,1.72257,0.93337,0.00487,0,0.00999648,0.00999648,0.00999648
14,173.23,1.69737,2.63636,1.67188,0.0066,1.30482,0.76956,0.66395,0.74247,0.55204,0.75846,0.63253,0.7094,0.46373,1.18601,1.61047,0.90642,0.00455,0,0.00999587,0.00999587,0.00999587
15,185.777,1.70694,2.67062,1.65168,0.00669,1.32451,0.69477,0.66078,0.73382,0.54283,0.69609,0.65885,0.71534,0.4507,1.19693,1.59496,0.91262,0.00485,0,0.00999521,0.00999521,0.00999521
16,197.737,1.70112,2.61933,1.62137,0.0066,1.24628,0.85755,0.56758,0.7537,0.56006,0.83791,0.55112,0.71683,0.49765,1.17427,1.60812,0.99001,0.00476,0,0.0099945,0.0099945,0.0099945
17,209.782,1.69388,2.60761,1.64037,0.00646,1.2927,0.83209,0.72434,0.80145,0.6102,0.82624,0.72187,0.78795,0.54119,1.13546,1.59642,0.87273,0.00454,0,0.00999375,0.00999375,0.00999375
18,221.762,1.68799,2.61807,1.61195,0.00655,1.2604,0.83075,0.7275,0.80622,0.6011,0.81034,0.71017,0.76837,0.53122,1.21076,1.54863,0.89159,0.00474,0,0.00999294,0.00999294,0.00999294
19,233.822,1.67634,2.5856,1.60263,0.00633,1.26814,0.79114,0.71231,0.76796,0.56531,0.7833,0.7172,0.74866,0.51773,1.2371,1.71197,1.03612,0.00491,0,0.00999209,0.00999209,0.00999209
20,246.104,1.68472,2.6128,1.5914,0.0065,1.17765,0.83333,0.75615,0.81944,0.61032,0.82931,0.74173,0.799,0.5492,1.22501,1.65551,0.85842,0.00498,0,0.00999118,0.00999118,0.00999118
21,258.816,1.69951,2.58349,1.58169,0.00653,1.18837,0.78135,0.73547,0.8173,0.61922,0.76901,0.72386,0.78144,0.554,1.21174,1.58342,0.89176,0.00467,0,0.00999023,0.00999023,0.00999023
22,271.782,1.6972,2.60363,1.58618,0.00638,1.22249,0.87243,0.73136,0.83343,0.62927,0.86253,0.69132,0.78315,0.52762,1.25422,1.6493,0.8614,0.00461,0,0.00998923,0.00998923,0.00998923
23,284.998,1.69882,2.57532,1.56808,0.00644,1.18975,0.83803,0.76848,0.82497,0.62382,0.82422,0.71765,0.7797,0.52271,1.24331,1.62099,0.80174,0.00488,0,0.00998818,0.00998818,0.00998818
24,298.294,1.6752,2.55001,1.5228,0.00634,1.08703,0.73482,0.77386,0.81875,0.62742,0.71141,0.74936,0.78701,0.532,1.14528,1.59564,0.78614,0.00463,0,0.00998708,0.00998708,0.00998708
25,311.599,1.63878,2.48347,1.48827,0.0062,1.04532,0.87343,0.74578,0.85468,0.64899,0.86308,0.73571,0.83407,0.57602,1.14684,1.58941,0.76017,0.00466,0,0.00998594,0.00998594,0.00998594
26,325.05,1.67198,2.56932,1.56361,0.00646,1.10339,0.83094,0.81392,0.8527,0.63775,0.81945,0.80371,0.82955,0.55015,1.16102,1.58612,0.87489,0.0046,0,0.00998474,0.00998474,0.00998474
27,338.36,1.65636,2.51766,1.51764,0.00636,1.07416,0.78144,0.77852,0.84019,0.63236,0.77382,0.77335,0.82253,0.5599,1.1277,1.54732,0.79348,0.00448,0,0.0099835,0.0099835,0.0099835
28,351.556,1.64747,2.55175,1.48759,0.00637,1.06463,0.83972,0.77603,0.84624,0.6352,0.80889,0.75076,0.80627,0.54281,1.21819,1.57314,0.80653,0.0046,0,0.0099822,0.0099822,0.0099822
29,364.792,1.64524,2.52116,1.48891,0.00631,1.04425,0.75581,0.82261,0.84743,0.62616,0.71545,0.79487,0.80218,0.51895,1.15217,1.60842,0.78757,0.00446,0,0.00998086,0.00998086,0.00998086
30,377.982,1.64308,2.47315,1.48192,0.00626,1.1094,0.77525,0.72806,0.79971,0.57503,0.80782,0.65161,0.75783,0.49574,1.19722,1.53462,0.83158,0.00472,0,0.00997947,0.00997947,0.00997947
31,391.735,1.65907,2.53217,1.4799,0.00641,1.00392,0.84543,0.70508,0.81291,0.61079,0.8531,0.71057,0.80107,0.5517,1.15896,1.54194,0.79148,0.00469,0,0.00997803,0.00997803,0.00997803
32,406.068,1.65279,2.49914,1.4707,0.00635,1.05069,0.90189,0.6819,0.81908,0.59228,0.89405,0.67162,0.78468,0.52583,1.32319,1.58043,0.95786,0.00525,0,0.00997654,0.00997654,0.00997654
33,420.328,1.60147,2.46164,1.46157,0.00626,0.98461,0.79074,0.75353,0.84241,0.64321,0.78707,0.74961,0.81073,0.55449,1.14255,1.55665,0.84384,0.00445,0,0.00997501,0.00997501,0.00997501
34,434.715,1.6322,2.46879,1.43028,0.00606,0.98345,0.8432,0.75365,0.8511,0.64028,0.83439,0.74523,0.82142,0.58787,1.17143,1.59733,0.80896,0.00448,0,0.00997342,0.00997342,0.00997342
35,449.186,1.62489,2.44713,1.44678,0.00642,0.97527,0.79245,0.80826,0.85654,0.63809,0.78286,0.79564,0.82255,0.56661,1.15036,1.57909,0.82525,0.00456,0,0.00997179,0.00997179,0.00997179
36,463.623,1.65842,2.4822,1.46433,0.00629,1.0334,0.83021,0.71511,0.82623,0.61789,0.81935,0.70253,0.77406,0.53675,1.16666,1.49574,0.81585,0.00453,0,0.00997011,0.00997011,0.00997011
37,478.011,1.62006,2.46056,1.42376,0.00612,0.94711,0.83819,0.81694,0.86662,0.64241,0.79856,0.77197,0.81795,0.56888,1.16182,1.60898,0.79182,0.00466,0,0.00996838,0.00996838,0.00996838
38,492.392,1.64838,2.46071,1.44911,0.00627,0.98038,0.76696,0.73275,0.80485,0.61545,0.75338,0.71741,0.76878,0.51811,1.16621,1.66021,0.76177,0.00451,0,0.0099666,0.0099666,0.0099666
39,506.686,1.60476,2.40965,1.39325,0.00602,0.97574,0.88265,0.74485,0.84842,0.62613,0.83741,0.70833,0.79346,0.5213,1.22577,1.65025,0.78051,0.0051,0,0.00996477,0.00996477,0.00996477
40,521.136,1.64012,2.45515,1.4343,0.00617,1.02465,0.78013,0.79322,0.84842,0.61663,0.75832,0.76775,0.80535,0.52522,1.16355,1.51258,0.77137,0.00446,0,0.00996289,0.00996289,0.00996289
41,535.546,1.60044,2.41276,1.3944,0.00619,0.94469,0.82027,0.78639,0.82743,0.63095,0.79114,0.76293,0.79081,0.51141,1.14687,1.6061,0.8549,0.00453,0,0.00996097,0.00996097,0.00996097
42,549.923,1.63515,2.41818,1.41462,0.0062,0.9675,0.82362,0.66404,0.78726,0.59526,0.79588,0.6343,0.72279,0.44961,1.18737,1.63987,0.82252,0.00505,0,0.00995899,0.00995899,0.00995899
43,564.457,1.61477,2.42288,1.40415,0.00617,1.02502,0.79091,0.7401,0.81941,0.6056,0.77217,0.71741,0.76856,0.50372,1.186,1.62371,0.90395,0.00474,0,0.00995697,0.00995697,0.00995697
44,578.877,1.64404,2.45771,1.409,0.00635,1.00398,0.8187,0.72603,0.82831,0.61475,0.8309,0.70563,0.78837,0.53083,1.19693,1.53199,0.80053,0.00465,0,0.0099549,0.0099549,0.0099549
45,593.533,1.62706,2.47349,1.43754,0.0063,0.96183,0.77502,0.76982,0.83757,0.63116,0.7708,0.66345,0.73053,0.47896,1.16058,1.62026,0.77648,0.00459,0,0.00995278,0.00995278,0.00995278
46,608.222,1.63065,2.41664,1.38759,0.00608,0.95698,0.84817,0.71552,0.84972,0.63816,0.71701,0.78327,0.79794,0.538,1.1685,1.55107,0.79337,0.00475,0,0.00995062,0.00995062,0.00995062
47,623.58,1.62972,2.41088,1.35878,0.00599,0.99861,0.82873,0.73501,0.83718,0.62923,0.81756,0.72139,0.80987,0.54325,1.1614,1.53332,0.7695,0.00432,0,0.0099484,0.0099484,0.0099484
48,638.306,1.60325,2.36908,1.34419,0.00585,0.91615,0.8105,0.81061,0.83351,0.62929,0.83582,0.74075,0.79702,0.53589,1.17302,1.54012,0.78139,0.00435,0,0.00994614,0.00994614,0.00994614
49,653.097,1.59074,2.36157,1.3249,0.00578,0.90038,0.8683,0.76825,0.86731,0.66632,0.83575,0.74145,0.82047,0.54033,1.13826,1.53952,0.74994,0.00412,0,0.00994383,0.00994383,0.00994383
50,667.752,1.60335,2.37771,1.34812,0.00603,0.91129,0.86671,0.76923,0.8614,0.65823,0.85697,0.76092,0.83996,0.56416,1.15282,1.49356,0.7593,0.00478,0,0.00994147,0.00994147,0.00994147
51,682.344,1.59059,2.37424,1.34323,0.00591,0.91267,0.78526,0.83123,0.861,0.65474,0.77931,0.82114,0.84261,0.55135,1.18382,1.64417,0.70149,0.0046,0,0.00993906,0.00993906,0.00993906
52,696.804,1.61286,2.38253,1.31369,0.00607,0.92472,0.83393,0.80809,0.87608,0.66068,0.79337,0.794,0.82008,0.52415,1.1876,1.53108,0.75512,0.00458,0,0.0099366,0.0099366,0.0099366
53,710.713,1.5865,2.31878,1.31052,0.00591,0.90789,0.88514,0.78463,0.89054,0.67622,0.8216,0.76942,0.83499,0.5582,1.13827,1.5613,0.72232,0.00455,0,0.0099341,0.0099341,0.0099341
54,724.404,1.60596,2.42503,1.35493,0.0063,0.92078,0.85968,0.79965,0.88414,0.66513,0.84907,0.78706,0.85144,0.56615,1.16687,1.49047,0.76446,0.00461,0,0.00993154,0.00993154,0.00993154
55,738.125,1.59703,2.35503,1.30109,0.00595,0.90604,0.86615,0.79375,0.87089,0.663,0.84474,0.75655,0.8237,0.55261,1.12849,1.62181,0.73169,0.00436,0,0.00992894,0.00992894,0.00992894
56,751.766,1.59023,2.36854,1.32087,0.00611,0.91501,0.79849,0.80191,0.86441,0.66375,0.77951,0.77978,0.82391,0.5329,1.14495,1.5674,0.69507,0.00473,0,0.00992629,0.00992629,0.00992629
57,765.238,1.60133,2.36072,1.30922,0.00605,0.8796,0.79744,0.83892,0.86494,0.64218,0.83815,0.75866,0.80811,0.52683,1.16786,1.64187,0.76136,0.00465,0,0.00992359,0.00992359,0.00992359
58,779.06,1.59639,2.33835,1.31275,0.00594,0.92653,0.8612,0.76363,0.86431,0.65175,0.82503,0.7281,0.80305,0.53278,1.13505,1.60717,0.75031,0.00469,0,0.00992085,0.00992085,0.00992085
59,792.977,1.5947,2.32076,1.28722,0.00577,0.86435,0.87618,0.78311,0.883,0.67109,0.85043,0.76246,0.8324,0.55805,1.17486,1.667,0.7163,0.00447,0,0.00991805,0.00991805,0.00991805
60,806.97,1.58359,2.33294,1.2983,0.00596,0.89806,0.84526,0.76536,0.85688,0.66287,0.83595,0.75263,0.81667,0.55792,1.16396,1.61348,0.70945,0.00461,0,0.00991521,0.00991521,0.00991521
61,820.811,1.57614,2.35063,1.27688,0.00604,0.84048,0.76802,0.83363,0.87652,0.67979,0.88596,0.71981,0.84716,0.5832,1.14015,1.58069,0.78228,0.00466,0,0.00991232,0.00991232,0.00991232
62,834.816,1.60165,2.3347,1.27666,0.00602,0.86701,0.79272,0.84245,0.87521,0.66145,0.74364,0.79317,0.79568,0.55067,1.14702,1.58143,0.71009,0.00472,0,0.00990938,0.00990938,0.00990938
63,848.332,1.58434,2.32272,1.29076,0.00586,0.92453,0.81135,0.79294,0.87532,0.65898,0.76674,0.75117,0.81732,0.56092,1.14901,1.61441,0.67994,0.00463,0,0.0099064,0.0099064,0.0099064
64,861.982,1.58584,2.33306,1.30241,0.00596,0.85492,0.78891,0.86416,0.90264,0.69981,0.77646,0.84906,0.86469,0.58977,1.12548,1.58712,0.66892,0.00458,0,0.00990336,0.00990336,0.00990336
65,876.011,1.5532,2.26996,1.24184,0.0058,0.84174,0.77539,0.82712,0.88918,0.67459,0.8188,0.7595,0.84445,0.55165,1.17226,1.59539,0.69799,0.00473,0,0.00990028,0.00990028,0.00990028
66,889.811,1.57565,2.27961,1.27065,0.00591,0.83678,0.88642,0.794,0.89083,0.68169,0.84714,0.75943,0.86155,0.55474,1.1424,1.56735,0.65548,0.00484,0,0.00989715,0.00989715,0.00989715
